,
Name,Quanity
NE555P,1
CD4017,1
LEDs,10
Headers 1x02,1
Headers 1x01,1
50K Potentimeter,1
0.01uf Capacitor,1
1uf Capacitor,1
1K Resistor,1
470 Resistor,1
